Semana,Titulo,Acuerdos
w14,Acuerdos y Avances — 13 de Julio,"<strong>Propuesta de Valor del Encuentro:</strong> Ejercicio en Miro para mapear el valor diferencial para ponentes y asistentes;<strong>Público Objetivo e Insights:</strong> Trascender el alcance académico y conectar con el sector público y privado mediante insights accionables;<strong>Confirmación de Moderadores:</strong> Enviar cartas formales de invitación para asegurar agendas de moderadores antes de su cierre;<strong>Trámites Institucionales:</strong> Enviar correos a mesas de partes con formato estandarizado;<strong>Producción Audiovisual:</strong> Realizar videos para exponer el capital de Sidereus Nuncius (aliados/auspiciadores) y videos de invitación general"
w13,Acuerdos y Avances — 06 de Julio,"<strong>Difusión Internacional:</strong> Compartir la convocatoria con redes aliadas como ESOCITE y comunidades CTS en Latinoamérica;<strong>Mapeo de Interesados:</strong> Elaborar una lista de seguimiento de personas y estudiantes que expresen interés en participar;<strong>Enfoque Interdisciplinario:</strong> Expandir el alcance hacia grupos de investigación en STEM con componentes sociales;<strong>Visibilidad Académica:</strong> Destacar investigaciones y libros CTS producidos en el Perú para visibilizarlos en la web y durante el Encuentro"
w12,Acuerdos y Avances — 22 de Junio,"<strong>Innovación Crítica:</strong> Cuestionar agresivamente el concepto tradicional de 'innovación' y deconstruir la idea de desarrollo confrontando quiénes innovan realmente;<strong>Dinámica Propositiva:</strong> Trascender lo expositivo para buscar un producto final con impacto real en la gestión pública e institucionalizar una red dinámica;<strong>Paneles:</strong> Definición de roles de Manuel Etesse y Julio César Mateus. Amanda consultará a María Isabel Espinoza para el panel de Biodiversidad y Medio Ambiente;<strong>Comunicación e Infraestructura:</strong> Diseño de plantillas de difusión para WhatsApp y correos. Implementación de formulario en Airtable para registro general"
w11,Acuerdos y Avances — 15 de Junio,"<strong>Política de Privacidad:</strong> Incluir un aviso explícito sobre la grabación de las mesas tanto en la señalética física como en los correos formales de invitación;<strong>Gestión de Consentimiento:</strong> Habilitar una opción en las invitaciones para que los participantes autoricen explícitamente ser grabados o indiquen si prefieren participar de forma anónima;<strong>Gestión Académica:</strong> Confirmada la participación de Manuel Etesse y Verónica Montoya en el Panel de Educación. Formulación de campos de Airtable para recepción de postulaciones"
w10,Acuerdos y Avances — 08 de Junio,"<strong>Sede Digital:</strong> Fernando coordina el hosting de Sidereus Nuncius para la carga de información del tercer encuentro y el registro de asistentes;<strong>Logística In Situ:</strong> Esteban compartirá el modelo organizativo para definir funciones del personal y voluntarios. Marcos gestionará permisos para contar con cámaras y equipos de grabación en la sede;<strong>Estrategia de Publicación:</strong> Buscar un mecanismo colaborativo en tiempo real para generar memorias útiles. Se elaborará un esquema para extraer de 2 a 3 publicaciones basadas en el material recopilado"
w09,Acuerdos y Avances — 01 de Junio,"<strong>Gestión de Equipamiento:</strong> Rodrigo consultará disponibilidad de transmisión en la Facultad de Sociales y Sebastian con César Navarro en Diseño PUCP. Josué revisará costos técnicos de la transmisión híbrida;<strong>Roles Académicos:</strong> Formalmente los roles se denominarán 'Presentador' y 'Comentarista'. Sebastian confirmará a Ángel Gutiérrez, Pavel, Bruno, Alessandro, César Navarro, Juan Montalván y Julio Mateus;<strong>Design Thinking:</strong> Jose armará una propuesta metodológica interactiva;<strong>Soporte y Difusión:</strong> Lanzamiento de la campaña 'Conoce a la Red' (todos deben enviar foto y bio). Convocatoria de voluntarios estudiantiles con Amanda"
w08,Acuerdos y Avances — 25 de Mayo,"<strong>Estructura de Paneles:</strong> Co-moderación activa sin superposiciones con un Presentador (control de tiempo y fluidez) y un Moderador/Comentarista (comentario crítico transversal de 5-10 min y mapeo de controversias);<strong>Memorias del Encuentro:</strong> Recepción de Abstract corto (300 palabras) para evaluación inicial e informe extendido (1000 palabras) para los Proceedings oficiales;<strong>Logística:</strong> Definición de mesas directivas y consulta sobre restricciones del Coffee Break en la PUCP. Campaña de contenido en video 'Conoce a la Red'"
w07,Acuerdos y Avances — 11 de Mayo,"<strong>Vinculación Estudiantil:</strong> Aprovechar la clase de Rodrigo para discutir el enfoque CTS y promover el encuentro en Estudios Generales PUCP;<strong>Conexiones Clave:</strong> Conectar por correo a Adela Parra (ESOCITE) con Rodrigo para articular esfuerzos;<strong>Nuevos Perfiles:</strong> Identificar a María Isabel Espinoza para paneles de Gobernanza o Medio Ambiente. Mantener la consistencia progresiva de la parrilla de contenidos en redes"
w06,Acuerdos y Avances — 04 de Mayo,"<strong>Alianzas y Sedes:</strong> Confirmado el uso del logo de ESOCITE. Espera de respuesta de Antropología PUCP para oficializar la sede en Lima. Alianza consolidada con Rooted Futures Lab (pre-evento Data Centers y justicia ambiental);<strong>Programa y Finanzas:</strong> Armado detallado de mesas al confirmar sede. Envío de presupuesto actualizado a Rooted Futures Lab. Planificación de actividades de sostenibilidad post-encuentro"
w05,Acuerdos y Avances — 20 de Abril,"<strong>Definición del Evento:</strong> Fechas confirmadas oficiales para el 27 y 28 de agosto en Lima, PUCP. El evento y la certificación serán completamente gratuitos;<strong>Logística y Redes:</strong> Sebastian visitará espacios en Católica para enviar información al grupo. Fernando y Esteban a cargo de responder consultas en redes sociales;<strong>Financiamiento Creativo:</strong> Propuesta de actividad pro-fondos para coffee break y venta de productos especiales (reportes y notas) sugerida por Fabio"
w04,Acuerdos y Avances — 13 de Abril,"<strong>Definición de Espacios:</strong> Se evalúan cuatro alternativas (CES San Marcos, NOS PUCP, Sociales PUCP y Continental Cusco). Sebastian lanzará encuesta final de sede;<strong>Primer Lanzamiento:</strong> Publicación de flyer informativo en español, inglés y portugués con los logos seleccionados. Sebastian redactará los requerimientos de manuscritos y roles una semana después;<strong>Relaciones Académicas:</strong> Fernando continúa búsqueda en Educación. Diego contactará al profesor de la U. de Lima. Jose confirmará respuesta de la DGI"
w03,Acuerdos y Avances — 30 de Marzo,"<strong>Logística y Sedes:</strong> Apoyo acordado con Diseño PUCP. Amanda gestionará espacios en Cusco. Lanzamiento de tres encuestas WhatsApp (fechas centrales, costo de certificación, ubicación geográfica de los miembros);<strong>Paneles y Keynotes:</strong> Alejandra contactará a Cueto y Sebastian a Ángel Gutiérrez (Colombia). Jose confirmado como facilitador en Seguridad junto a Arturo Huaytalla;<strong>Estrategia y Presupuesto:</strong> Ajuste de escenarios según aforo (50, 100 o 200 personas). Sebastian y Fernando continúan monitoreo legal para recibir donaciones"
w02,Acuerdos y Avances — 23 de Marzo,"<strong>Gestión Institucional:</strong> Sebastian consultará con Diseño y Gestión PUCP para auspicio institucional. Escenarios presupuestarios estiman una meta de 4,000 soles para 100 asistentes;<strong>Mesas Temáticas:</strong> Alejandra contactará a Marcos Cueto (Keynote). Jose contactará a Hans Burkli (Seguridad). Sebastian contactará a Manuel Etesse y Alejandra al Grupo Apoyo y MuniLima (Educación);<strong>Alianzas:</strong> Búsqueda de contactos en CONCYTEC (Alejandra). Convocatoria para Call for Abstracts fijada para finales de abril"
w01,Acuerdos y Avances — 16 de Marzo,"<strong>Logística General:</strong> Confirmado formato Híbrido. Sebastian reestima presupuesto. Sede en evaluación entre Cusco, San Marcos o PUCP;<strong>Comunicación y Alianzas:</strong> Esteban y Fernando actualizan afiche gráfico. Alessandro gestiona permisos de RedPop. Amanda contactará a Karen Soacha;<strong>Relaciones Académicas:</strong> Alejandra, Amanda y Kike envían correos a Keynote Speakers y Panel Chairs. Apoyo de Diego, Rogelio y Jose para moderadores;<strong>Financiamiento:</strong> Sebastian y Fernando gestionan trámites legales de personería jurídica. Sebastian lidera gestión de fondos internacionales"
